Month,Salesman,Manager,Product,Category, Sales, Profit
1/31/2010,David Torres,Kimberly Mack,Socks,Accesseries,"  3,584 ",  35.84 
1/31/2010,Brenda Matthews,Kimberly Mack,Socks,Accesseries,"  2,665 ",  106.60 
1/31/2010,Jennifer Johnson,Kimberly Mack,Socks,Accesseries,"  3,628 ",  145.12 
1/31/2010,Kristi Shaw,Kimberly Mack,Socks,Accesseries,"  2,374 ",  47.48 
1/31/2010,Sarah Parks,Brian Baldwin,Socks,Accesseries,"  1,491 ",  14.91 
1/31/2010,Steven Kerr,Brian Baldwin,Socks,Accesseries,"  3,185 ",  63.70 
1/31/2010,Brian Harris,Brian Baldwin,Socks,Accesseries,"  2,896 ",  231.68 
1/31/2010,Kenneth Lamb,Brian Baldwin,Socks,Accesseries,"  3,695 ",  110.85 
1/31/2010,David Torres,Kimberly Mack,Shorts,Accesseries,"  3,639 ",  36.39 
1/31/2010,Brenda Matthews,Kimberly Mack,Shorts,Accesseries,"  1,417 ",  85.02 
1/31/2010,Jennifer Johnson,Kimberly Mack,Shorts,Accesseries,"  1,574 ",  110.18 
1/31/2010,Kristi Shaw,Kimberly Mack,Shorts,Accesseries,"  3,597 ",  35.97 
1/31/2010,Sarah Parks,Brian Baldwin,Shorts,Accesseries,"  3,440 ",  34.40 
1/31/2010,Steven Kerr,Brian Baldwin,Shorts,Accesseries,"  3,190 ",  95.70 
1/31/2010,Brian Harris,Brian Baldwin,Shorts,Accesseries,"  2,437 ",  48.74 
1/31/2010,Kenneth Lamb,Brian Baldwin,Shorts,Accesseries,"  2,055 ",  41.10 
1/31/2010,David Torres,Kimberly Mack,Jeans,Cloths,"  1,386 ",  13.86 
1/31/2010,Brenda Matthews,Kimberly Mack,Jeans,Cloths,"  2,890 ",  115.60 
1/31/2010,Jennifer Johnson,Kimberly Mack,Jeans,Cloths,"  2,337 ",  163.59 
1/31/2010,Kristi Shaw,Kimberly Mack,Jeans,Cloths,"  1,514 ",  30.28 
1/31/2010,Sarah Parks,Brian Baldwin,Jeans,Cloths,"  2,973 ",  59.46 
1/31/2010,Steven Kerr,Brian Baldwin,Jeans,Cloths,"  3,752 ",  75.04 
1/31/2010,Brian Harris,Brian Baldwin,Jeans,Cloths,"  3,627 ",  145.08 
1/31/2010,Kenneth Lamb,Brian Baldwin,Jeans,Cloths,"  3,303 ",  66.06 
1/31/2010,David Torres,Kimberly Mack,Coats,Cloths,"  1,840 ",  18.40 
1/31/2010,Brenda Matthews,Kimberly Mack,Coats,Cloths,"  2,393 ",  95.72 
1/31/2010,Jennifer Johnson,Kimberly Mack,Coats,Cloths,"  2,142 ",  107.10 
1/31/2010,Kristi Shaw,Kimberly Mack,Coats,Cloths,"  2,744 ",  27.44 
1/31/2010,Sarah Parks,Brian Baldwin,Coats,Cloths,"  1,981 ",  19.81 
1/31/2010,Steven Kerr,Brian Baldwin,Coats,Cloths,"  1,977 ",  79.08 
1/31/2010,Brian Harris,Brian Baldwin,Coats,Cloths,"  2,967 ",  237.36 
1/31/2010,Kenneth Lamb,Brian Baldwin,Coats,Cloths,"  2,198 ",  43.96 
1/31/2010,David Torres,Kimberly Mack,Sweaters,Cloths,"  3,016 ",  30.16 
1/31/2010,Brenda Matthews,Kimberly Mack,Sweaters,Cloths,"  2,759 ",  82.77 
1/31/2010,Jennifer Johnson,Kimberly Mack,Sweaters,Cloths,"  1,040 ",  62.40 
1/31/2010,Kristi Shaw,Kimberly Mack,Sweaters,Cloths,"  2,905 ",  58.10 
1/31/2010,Sarah Parks,Brian Baldwin,Sweaters,Cloths,"  3,064 ",  30.64 
1/31/2010,Steven Kerr,Brian Baldwin,Sweaters,Cloths,"  3,857 ",  154.28 
1/31/2010,Brian Harris,Brian Baldwin,Sweaters,Cloths,"  1,252 ",  12.52 
1/31/2010,Kenneth Lamb,Brian Baldwin,Sweaters,Cloths,"  3,397 ",  67.94 
1/31/2010,David Torres,Kimberly Mack,Jackets,Cloths,"  1,319 ",  13.19 
1/31/2010,Brenda Matthews,Kimberly Mack,Jackets,Cloths,"  2,758 ",  27.58 
1/31/2010,Jennifer Johnson,Kimberly Mack,Jackets,Cloths,"  1,055 ",  63.30 
1/31/2010,Kristi Shaw,Kimberly Mack,Jackets,Cloths,"  1,979 ",  39.58 
1/31/2010,Sarah Parks,Brian Baldwin,Jackets,Cloths,"  2,120 ",  21.20 
1/31/2010,Steven Kerr,Brian Baldwin,Jackets,Cloths,"  3,320 ",  99.60 
1/31/2010,Brian Harris,Brian Baldwin,Jackets,Cloths,"  3,057 ",  91.71 
1/31/2010,Kenneth Lamb,Brian Baldwin,Jackets,Cloths,"  1,192 ",  11.92 
1/31/2010,David Torres,Kimberly Mack,Shirts,Cloths,"  2,319 ",  23.19 
1/31/2010,Brenda Matthews,Kimberly Mack,Shirts,Cloths,"  2,152 ",  107.60 
1/31/2010,Jennifer Johnson,Kimberly Mack,Shirts,Cloths,"  3,378 ",  101.34 
1/31/2010,Kristi Shaw,Kimberly Mack,Shirts,Cloths,"  3,245 ",  64.90 
1/31/2010,Sarah Parks,Brian Baldwin,Shirts,Cloths,"  1,913 ",  38.26 
1/31/2010,Steven Kerr,Brian Baldwin,Shirts,Cloths,"  2,318 ",  69.54 
1/31/2010,Brian Harris,Brian Baldwin,Shirts,Cloths,"  2,463 ",  197.04 
1/31/2010,Kenneth Lamb,Brian Baldwin,Shirts,Cloths,"  2,772 ",  83.16 
1/31/2010,David Torres,Kimberly Mack,Paints,Cloths,"  2,159 ",  21.59 
1/31/2010,Brenda Matthews,Kimberly Mack,Paints,Cloths,"  1,257 ",  75.42 
1/31/2010,Jennifer Johnson,Kimberly Mack,Paints,Cloths,"  3,851 ",  115.53 
1/31/2010,Kristi Shaw,Kimberly Mack,Paints,Cloths,"  3,306 ",  33.06 
1/31/2010,Sarah Parks,Brian Baldwin,Paints,Cloths,"  1,826 ",  18.26 
1/31/2010,Steven Kerr,Brian Baldwin,Paints,Cloths,"  3,404 ",  34.04 
1/31/2010,Brian Harris,Brian Baldwin,Paints,Cloths,"  3,171 ",  190.26 
1/31/2010,Kenneth Lamb,Brian Baldwin,Paints,Cloths,"  1,929 ",  38.58 
1/31/2010,David Torres,Kimberly Mack,Hats,Accesseries,"  2,269 ",  22.69 
1/31/2010,Brenda Matthews,Kimberly Mack,Hats,Accesseries,"  3,599 ",  143.96 
1/31/2010,Jennifer Johnson,Kimberly Mack,Hats,Accesseries,"  3,607 ",  180.35 
1/31/2010,Kristi Shaw,Kimberly Mack,Hats,Accesseries,"  3,114 ",  62.28 
1/31/2010,Sarah Parks,Brian Baldwin,Hats,Accesseries,"  1,559 ",  15.59 
1/31/2010,Steven Kerr,Brian Baldwin,Hats,Accesseries,"  3,922 ",  117.66 
1/31/2010,Brian Harris,Brian Baldwin,Hats,Accesseries,"  1,420 ",  99.40 
1/31/2010,Kenneth Lamb,Brian Baldwin,Hats,Accesseries,"  2,091 ",  20.91 
1/31/2010,David Torres,Kimberly Mack,Pajamas,Cloths,"  3,888 ",  38.88 
1/31/2010,Brenda Matthews,Kimberly Mack,Pajamas,Cloths,"  2,283 ",  68.49 
1/31/2010,Jennifer Johnson,Kimberly Mack,Pajamas,Cloths,"  3,430 ",  205.80 
1/31/2010,Kristi Shaw,Kimberly Mack,Pajamas,Cloths,"  1,587 ",  15.87 
1/31/2010,Sarah Parks,Brian Baldwin,Pajamas,Cloths,"  2,284 ",  22.84 
1/31/2010,Steven Kerr,Brian Baldwin,Pajamas,Cloths,"  3,574 ",  35.74 
1/31/2010,Brian Harris,Brian Baldwin,Pajamas,Cloths,"  3,138 ",  156.90 
1/31/2010,Kenneth Lamb,Brian Baldwin,Pajamas,Cloths,"  3,631 ",  145.24 
2/28/2010,David Torres,Kimberly Mack,Socks,Accesseries,"  3,620 ",  36.20 
2/28/2010,Brenda Matthews,Kimberly Mack,Socks,Accesseries,"  2,772 ",  138.58 
2/28/2010,Jennifer Johnson,Kimberly Mack,Socks,Accesseries,"  3,592 ",  71.83 
2/28/2010,Kristi Shaw,Kimberly Mack,Socks,Accesseries,"  2,374 ",  47.48 
2/28/2010,Sarah Parks,Brian Baldwin,Socks,Accesseries,"  1,491 ",  29.82 
2/28/2010,Steven Kerr,Brian Baldwin,Socks,Accesseries,"  3,344 ",  133.77 
2/28/2010,Brian Harris,Brian Baldwin,Socks,Accesseries,"  2,693 ",  53.87 
2/28/2010,Kenneth Lamb,Brian Baldwin,Socks,Accesseries,"  3,843 ",  38.43 
2/28/2010,David Torres,Kimberly Mack,Shorts,Accesseries,"  3,603 ",  36.03 
2/28/2010,Brenda Matthews,Kimberly Mack,Shorts,Accesseries,"  1,374 ",  82.47 
2/28/2010,Jennifer Johnson,Kimberly Mack,Shorts,Accesseries,"  1,668 ",  83.42 
2/28/2010,Kristi Shaw,Kimberly Mack,Shorts,Accesseries,"  3,525 ",  35.25 
2/28/2010,Sarah Parks,Brian Baldwin,Shorts,Accesseries,"  3,406 ",  68.11 
2/28/2010,Steven Kerr,Brian Baldwin,Shorts,Accesseries,"  3,031 ",  121.22 
2/28/2010,Brian Harris,Brian Baldwin,Shorts,Accesseries,"  2,413 ",  168.88 
2/28/2010,Kenneth Lamb,Brian Baldwin,Shorts,Accesseries,"  2,137 ",  85.49 
2/28/2010,David Torres,Kimberly Mack,Jeans,Cloths,"  1,386 ",  13.86 
2/28/2010,Brenda Matthews,Kimberly Mack,Jeans,Cloths,"  3,035 ",  121.38 
2/28/2010,Jennifer Johnson,Kimberly Mack,Jeans,Cloths,"  2,407 ",  96.28 
2/28/2010,Kristi Shaw,Kimberly Mack,Jeans,Cloths,"  1,514 ",  30.28 
2/28/2010,Sarah Parks,Brian Baldwin,Jeans,Cloths,"  2,884 ",  86.51 
2/28/2010,Steven Kerr,Brian Baldwin,Jeans,Cloths,"  3,865 ",  38.65 
2/28/2010,Brian Harris,Brian Baldwin,Jeans,Cloths,"  3,736 ",  224.15 
2/28/2010,Kenneth Lamb,Brian Baldwin,Jeans,Cloths,"  3,369 ",  134.76 
2/28/2010,David Torres,Kimberly Mack,Coats,Cloths,"  1,822 ",  18.22 
2/28/2010,Brenda Matthews,Kimberly Mack,Coats,Cloths,"  2,321 ",  116.06 
2/28/2010,Jennifer Johnson,Kimberly Mack,Coats,Cloths,"  2,035 ",  122.09 
2/28/2010,Kristi Shaw,Kimberly Mack,Coats,Cloths,"  2,771 ",  27.71 
2/28/2010,Sarah Parks,Brian Baldwin,Coats,Cloths,"  2,001 ",  60.02 
2/28/2010,Steven Kerr,Brian Baldwin,Coats,Cloths,"  2,036 ",  40.73 
2/28/2010,Brian Harris,Brian Baldwin,Coats,Cloths,"  2,908 ",  116.31 
2/28/2010,Kenneth Lamb,Brian Baldwin,Coats,Cloths,"  2,220 ",  22.20 
2/28/2010,David Torres,Kimberly Mack,Sweaters,Cloths,"  2,986 ",  29.86 
2/28/2010,Brenda Matthews,Kimberly Mack,Sweaters,Cloths,"  2,897 ",  115.88 
2/28/2010,Jennifer Johnson,Kimberly Mack,Sweaters,Cloths,  978 ,  19.55 
2/28/2010,Kristi Shaw,Kimberly Mack,Sweaters,Cloths,"  2,905 ",  29.05 
2/28/2010,Sarah Parks,Brian Baldwin,Sweaters,Cloths,"  3,064 ",  30.64 
2/28/2010,Steven Kerr,Brian Baldwin,Sweaters,Cloths,"  3,741 ",  37.41 
2/28/2010,Brian Harris,Brian Baldwin,Sweaters,Cloths,"  1,177 ",  58.84 
2/28/2010,Kenneth Lamb,Brian Baldwin,Sweaters,Cloths,"  3,397 ",  101.91 
2/28/2010,David Torres,Kimberly Mack,Jackets,Cloths,"  1,319 ",  13.19 
2/28/2010,Brenda Matthews,Kimberly Mack,Jackets,Cloths,"  2,648 ",  52.95 
2/28/2010,Jennifer Johnson,Kimberly Mack,Jackets,Cloths,"  1,097 ",  65.83 
2/28/2010,Kristi Shaw,Kimberly Mack,Jackets,Cloths,"  2,019 ",  40.37 
2/28/2010,Sarah Parks,Brian Baldwin,Jackets,Cloths,"  2,078 ",  41.55 
2/28/2010,Steven Kerr,Brian Baldwin,Jackets,Cloths,"  3,187 ",  95.62 
2/28/2010,Brian Harris,Brian Baldwin,Jackets,Cloths,"  3,240 ",  194.43 
2/28/2010,Kenneth Lamb,Brian Baldwin,Jackets,Cloths,"  1,168 ",  11.68 
2/28/2010,David Torres,Kimberly Mack,Shirts,Cloths,"  2,342 ",  23.42 
2/28/2010,Brenda Matthews,Kimberly Mack,Shirts,Cloths,"  2,281 ",  22.81 
2/28/2010,Jennifer Johnson,Kimberly Mack,Shirts,Cloths,"  3,513 ",  105.39 
